
排名,名称,链接,星级,评分,评价人数
233,谍影重重,https://movie.douban.com/subject/1304102/,4.5,8.6,331276
234,朗读者,https://movie.douban.com/subject/2213597/,4.5,8.6,383429
235,东京物语,https://movie.douban.com/subject/1291568/,4.5,9.2,99912
236,猜火车,https://movie.douban.com/subject/1292528/,4.5,8.5,350660
237,浪潮,https://movie.douban.com/subject/2297265/,4.5,8.7,214951
238,再次出发之纽约遇见你,https://movie.douban.com/subject/6874403/,4.5,8.6,327340
239,驴得水,https://movie.douban.com/subject/25921812/,4,8.3,712334
240,千钧一发,https://movie.douban.com/subject/1300117/,4.5,8.8,195427
241,聚焦,https://movie.douban.com/subject/25954475/,4.5,8.8,221581
242,小萝莉的猴神大叔,https://movie.douban.com/subject/26393561/,4,8.4,384652
243,追随,https://movie.douban.com/subject/1397546/,4.5,8.9,143076
244,黑客帝国2：重装上阵,https://movie.douban.com/subject/1304141/,4.5,8.6,284066
245,我爱你,https://movie.douban.com/subject/5908478/,4.5,9.0,120708
246,黑鹰坠落,https://movie.douban.com/subject/1291824/,4.5,8.7,227328
247,一次别离,https://movie.douban.com/subject/5964718/,4.5,8.7,207608
248,无间道2,https://movie.douban.com/subject/1307106/,4.5,8.6,305034
249,网络谜踪,https://movie.douban.com/subject/27615441/,4.5,8.6,406754
250,东京教父,https://movie.douban.com/subject/1310177/,4.5,9.0,123716
排名,名称,链接,星级,评分,评价人数
排名,名称,链接,星级,评分,评价人数
1,肖申克的救赎,https://movie.douban.com/subject/1292052/,5,9.7,2222524
2,霸王别姬,https://movie.douban.com/subject/1291546/,5,9.6,1649781
3,阿甘正传,https://movie.douban.com/subject/1292720/,5,9.5,1674777
4,这个杀手不太冷,https://movie.douban.com/subject/1295644/,4.5,9.4,1859425
5,泰坦尼克号,https://movie.douban.com/subject/1292722/,4.5,9.4,1632459
6,美丽人生,https://movie.douban.com/subject/1292063/,5,9.5,1036005
7,千与千寻,https://movie.douban.com/subject/1291561/,4.5,9.4,1747503
8,辛德勒的名单,https://movie.douban.com/subject/1295124/,5,9.5,854395
9,盗梦空间,https://movie.douban.com/subject/3541415/,4.5,9.3,1626494
10,忠犬八公的故事,https://movie.douban.com/subject/3011091/,4.5,9.4,1111790
11,星际穿越,https://movie.douban.com/subject/1889243/,4.5,9.3,1298362
12,海上钢琴师,https://movie.douban.com/subject/1292001/,4.5,9.3,1324537
